# scene  task  split  x_noise  y_noise
gaps_12in_226_blue_carpet_v2            gaps    benchmark  0.00  0.30
gaps_16in_226_blue_carpet_v2            gaps    benchmark  0.00  0.30
gaps_grassy_courtyard_v2                gaps    benchmark  0.00  0.30
gaps_stata_v1                           gaps    benchmark  0.00  0.30
hurdle_226_blue_carpet_v3               hurdle  benchmark  0.00  0.30
hurdle_black_stone_v1                   hurdle  benchmark  0.00  0.40
hurdle_one_blue_carpet_v2               hurdle  benchmark  0.00  0.35
hurdle_one_dark_grassy_courtyard_v1     hurdle  benchmark  0.00  0.30
hurdle_stata_v1                         hurdle  benchmark  0.00  0.35
hurdle_stata_v2                         hurdle  benchmark  0.00  0.35
hurdle_three_grassy_courtyard_v2        hurdle  benchmark  0.00  0.40
real_hurdle_three_grassy_ally_v2        hurdle  benchmark  0.00  0.40
building_31_stairs_v1                   stairs  benchmark  0.00  0.50
real_stair_02_bcs_v1                    stairs  benchmark  0.00  0.50
real_stair_04_bcs_dusk                  stairs  benchmark  0.00  0.50
real_stair_08_mc_afternoon_v1           stairs  benchmark  0.00  0.50
stairs_4_stairs2up_v1                   stairs  benchmark  0.00  0.50
stairs_36_backstairs_v2                 stairs  benchmark  0.00  0.40
stairs_48_v3                            stairs  benchmark  0.00  0.40
wood_ramp_aligned_bricks_v1             ramp    benchmark  0.00  0.15
wood_ramp_aligned_grass_v2              ramp    benchmark  0.15  0.20
wood_ramp_offset_bricks_v2              ramp    benchmark  0.00  0.15
ramp_aligned_blue_carpet_v4             ramp    benchmark  0.00  0.15
ramp_bricks_v2                          ramp    benchmark  0.00  0.30
ramp_grass_v3                           ramp    benchmark  0.00  0.30
ramp_spread_blue_carpet_v5              ramp    benchmark  0.00  0.15
gaps_atkinson_back_12in                 gaps    benchmark  0.10  0.15
gaps_center_12in                        gaps    benchmark  0.10  0.15
gaps_fah_front_12in                     gaps    benchmark  0.10  0.15
gaps_fah_ll_gaps_15in_indoor_mixtex_v1  gaps    benchmark  0.00  0.10
gaps_fah_ll_indoor_12in                 gaps    benchmark  0.10  0.15
gaps_geisel_12in                        gaps    benchmark  0.10  0.20
gaps_jacobs_front_12in                  gaps    benchmark  0.10  0.15
gaps_jacobs_side_12in                   gaps    benchmark  0.10  0.20
hurdle_fah_back_two_hurldes_wood_v1     hurdle  benchmark  0.00  0.40
hurdle_fah_indoor_two_hurdle_rubber_v1  hurdle  benchmark  0.00  0.40
hurdle_fah_indoor_two_hurdle_wood_v1    hurdle  benchmark  0.00  0.40
hurdle_fah_ll_two_hurldes_wood_v1       hurdle  benchmark  0.00  0.30
hurdle_fah_two_hurdle_gray_ground_v1    hurdle  benchmark  0.00  0.30
hurdle_pssl_side                        hurdle  benchmark  0.00  0.40
hurdle_pfb_side                         hurdle  benchmark  0.00  0.35
hurdle_jacobs_side                      hurdle  benchmark  0.00  0.35
test_real_robot_sample_1                hurdle  benchmark  0.00  0.30
stairs_atkinson_back                    stairs  benchmark  0.00  0.50
stairs_fah_back                         stairs  benchmark  0.00  0.50
stairs_atkinson_side                    stairs  benchmark  0.00  0.50
stairs_ewc_front                        stairs  benchmark  0.00  0.50
stairs_geisel_up                        stairs  benchmark  0.00  0.30
stairs_jacobs_front                     stairs  benchmark  0.00  0.30
stairs_pc_fountain                      stairs  benchmark  0.00  0.50
stairs_pc_side                          stairs  benchmark  0.00  0.30
stairs_pcw                              stairs  benchmark  0.00  0.30
stairs_pfbh_front                       stairs  benchmark  0.00  0.50
ramp_atkinson_back                      ramp    benchmark  0.15  0.15
ramp_fah_back                           ramp    benchmark  0.15  0.15
ramp_fah_garden                         ramp    benchmark  0.15  0.15
ramp_fah_indoor_wood_4_ramp_v1          ramp    benchmark  0.15  0.15
ramp_fah_side                           ramp    benchmark  0.15  0.15
ramp_geisel                             ramp    benchmark  0.15  0.15
ramp_jacobs_back                        ramp    benchmark  0.15  0.15
ramp_jacobs_front                       ramp    benchmark  0.15  0.15
ramp_jacobs_indoor                      ramp    benchmark  0.15  0.15
ramps_fah_ll_indoor                     ramp    benchmark  0.15  0.15
lucidsim_real_hurdle_1                  hurdle  extra      0.00  0.10
lucidsim_real_hurdle_2                  hurdle  extra      0.00  0.10
lucidsim_real_stairs_2                  stairs  extra      0.00  0.10
lucidsim_real_stairs_3                  stairs  extra      0.00  0.10
